"","ProductHouse","Date","LC","NB"
"1","Investo","2005-02-01",723,1789
"2","Investo","2005-03-01",660,4337
"3","Investo","2005-04-01",644,3287
"4","Investo","2005-05-01",667,3260
"5","Investo","2005-06-01",691,3326
"6","Investo","2005-07-01",630,3454
"7","Investo","2005-08-01",719,3201
"8","Investo","2005-09-01",773,3022
"9","Investo","2005-10-01",1163,2830
"10","Investo","2005-11-01",825,2357
"11","Investo","2005-12-01",775,3174
"12","Investo","2006-01-01",719,2159
"13","Investo","2006-02-01",838,2874
"14","Investo","2006-03-01",945,3052
"15","Investo","2006-04-01",787,3143
"16","Investo","2006-05-01",1087,2859
"17","Investo","2006-06-01",1058,2549
"18","Investo","2006-07-01",951,3518
"19","Investo","2006-08-01",1026,3044
"20","Investo","2006-09-01",974,3127
"21","Investo","2006-10-01",992,2980
"22","Investo","2006-11-01",1111,2941
"23","Investo","2006-12-01",900,2721
"24","Investo","2007-01-01",1105,2542
"25","Investo","2007-02-01",1139,2446
"26","Investo","2007-03-01",1184,3105
"27","Investo","2007-04-01",1195,2946
"28","Investo","2007-05-01",1223,2659
"29","Investo","2007-06-01",1360,2628
"30","Investo","2007-07-01",1477,2893
"31","Investo","2007-08-01",1552,2821
"32","Investo","2007-09-01",1223,2607
"33","Investo","2007-10-01",1493,3126
"34","Investo","2007-11-01",1563,2759
"35","Investo","2007-12-01",1204,2392
"36","Investo","2008-01-01",1620,2370
"37","Investo","2008-02-01",1767,2174
"38","Investo","2008-03-01",1634,2857
"39","Investo","2008-04-01",2145,2599
"40","Investo","2008-05-01",1941,2570
"41","Investo","2008-06-01",2222,2521
"42","Investo","2008-07-01",2591,2415
"43","Investo","2008-08-01",2136,2518
"44","Investo","2008-09-01",1957,2655
"45","Investo","2008-10-01",2885,2671
"46","Investo","2008-11-01",2720,2417
"47","Investo","2008-12-01",2072,2422
"48","Investo","2009-01-01",1696,2018
"49","Investo","2009-02-01",2151,1675
"50","Investo","2009-03-01",2254,1817
"51","Investo","2009-04-01",1760,1617
"52","Investo","2009-05-01",1901,1552
"53","Investo","2009-06-01",1951,1650
"54","Investo","2009-07-01",2144,1652
"55","Investo","2009-08-01",1726,1879
"56","Investo","2009-09-01",2041,1714
"57","Investo","2009-10-01",1884,1763
"58","Investo","2009-11-01",1885,1653
"59","Investo","2009-12-01",1700,1535
"60","Investo","2010-01-01",1499,1700
"61","Investo","2010-02-01",1856,1689
"62","Investo","2010-03-01",1810,1988
"63","Investo","2010-04-01",1540,1430
"64","Investo","2010-05-01",1722,2303
"65","Investo","2010-06-01",1661,1842
"66","Investo","2010-07-01",1754,2034
"67","Investo","2010-08-01",1672,2142
"68","Investo","2010-09-01",1650,2138
"69","Investo","2010-10-01",1545,1903
"70","Investo","2010-11-01",1495,1926
"71","Investo","2010-12-01",1378,1905
"72","Investo","2011-01-01",1235,1834
"73","Investo","2011-02-01",1553,1873
"74","Investo","2011-03-01",1594,2392
"75","Investo","2011-04-01",1188,2120
"76","Investo","2011-05-01",1291,1973
"77","Investo","2011-06-01",1418,1981
"78","Investo","2011-07-01",1210,2139
"79","Investo","2011-08-01",1398,2308
"80","Investo","2011-09-01",1486,2324
"81","Investo","2011-10-01",1369,2185
"82","Investo","2011-11-01",1387,2210
"83","Investo","2011-12-01",1004,1770
"84","Investo","2012-01-01",943,1702
"85","Investo","2012-02-01",1408,1907
"86","Investo","2012-03-01",1455,2185
"87","Investo","2012-04-01",1396,2043
"88","Investo","2012-05-01",1566,1744
"89","Investo","2012-06-01",1411,1932
"90","Investo","2012-07-01",1507,2082
"91","Investo","2012-08-01",1483,2244
"92","Investo","2012-09-01",1182,2340
"93","Investo","2012-10-01",1631,2061
"94","Investo","2012-11-01",1542,1988
"95","Investo","2012-12-01",1274,1658
"96","Investo","2013-01-01",1242,1809
"97","Investo","2013-02-01",1373,2008
"98","Investo","2013-03-01",1326,2486
"99","Investo","2013-04-01",1745,2240
"100","Investo","2013-05-01",1620,2295
"101","Investo","2013-06-01",1581,2352
"102","Investo","2013-07-01",1814,2215
"103","Investo","2013-08-01",1692,2289
"104","Investo","2013-09-01",1773,2260
"105","Investo","2013-10-01",1877,2151
"106","Investo","2013-11-01",1713,2125
"107","Investo","2013-12-01",1499,1877
"108","Investo","2014-01-01",1478,1891
"109","Investo","2014-02-01",1599,2096
"110","Investo","2014-03-01",1627,2232
"111","Investo","2014-04-01",1609,2266
"112","Investo","2014-05-01",1501,2162
"113","Investo","2014-06-01",1572,2274
"114","Investo","2014-07-01",1714,2387
"115","Investo","2014-08-01",1566,2590
"116","Investo","2014-09-01",1904,2633
"117","Investo","2014-10-01",1840,2442
"118","Investo","2014-11-01",1480,2946
"119","Multiply","2010-03-01",111,1788
"120","Multiply","2010-04-01",153,1592
"121","Multiply","2010-05-01",251,1743
"122","Multiply","2010-06-01",244,1306
"123","Multiply","2010-07-01",273,1184
"124","Multiply","2010-08-01",282,1208
"125","Multiply","2010-09-01",264,1102
"126","Multiply","2010-10-01",266,1072
"127","Multiply","2010-11-01",270,1019
"128","Multiply","2010-12-01",370,1045
"129","Multiply","2011-01-01",382,1143
"130","Multiply","2011-02-01",355,1333
"131","Multiply","2011-03-01",358,1194
"132","Multiply","2011-04-01",309,1210
"133","Multiply","2011-05-01",406,993
"134","Multiply","2011-06-01",289,1044
"135","Multiply","2011-07-01",572,1552
"136","Multiply","2011-08-01",669,1676
"137","Multiply","2011-09-01",474,1761
"138","Multiply","2011-10-01",478,2058
"139","Multiply","2011-11-01",357,2014
"140","Multiply","2011-12-01",890,2003
"141","Multiply","2012-01-01",862,1708
"142","Multiply","2012-02-01",695,1638
"143","Multiply","2012-03-01",723,1958
"144","Multiply","2012-04-01",701,1616
"145","Multiply","2012-05-01",818,1533
"146","Multiply","2012-06-01",662,1502
"147","Multiply","2012-07-01",982,1931
"148","Multiply","2012-08-01",846,1619
"149","Multiply","2012-09-01",728,1516
"150","Multiply","2012-10-01",864,1482
"151","Multiply","2012-11-01",854,1638
"152","Multiply","2012-12-01",906,1584
"153","Multiply","2013-01-01",1228,7243
"154","Multiply","2013-02-01",1317,2492
"155","Multiply","2013-03-01",1195,2114
"156","Multiply","2013-04-01",1416,1611
"157","Multiply","2013-05-01",1219,1670
"158","Multiply","2013-06-01",1011,1533
"159","Multiply","2013-07-01",1102,1550
"160","Multiply","2013-08-01",1141,1620
"161","Multiply","2013-09-01",998,1538
"162","Multiply","2013-10-01",958,1551
"163","Multiply","2013-11-01",926,1335
"164","Multiply","2013-12-01",1397,1172
"165","Multiply","2014-01-01",1379,1595
"166","Multiply","2014-02-01",1174,1664
"167","Multiply","2014-03-01",1052,1454
"168","Multiply","2014-04-01",913,1467
"169","Multiply","2014-05-01",1076,1307
"170","Multiply","2014-06-01",1014,1453
"171","Multiply","2014-07-01",1034,1545
"172","Multiply","2014-08-01",997,1711
"173","Multiply","2014-09-01",898,1830
"174","Multiply","2014-10-01",984,1798
"175","Multiply","2014-11-01",1023,1975
"176","Myriad","2005-02-01",279,3316
"177","Myriad","2005-03-01",1407,3529
"178","Myriad","2005-04-01",892,3898
"179","Myriad","2005-05-01",975,3785
"180","Myriad","2005-06-01",955,4239
"181","Myriad","2005-07-01",981,3802
"182","Myriad","2005-08-01",985,4433
"183","Myriad","2005-09-01",1084,4627
"184","Myriad","2005-10-01",1017,4541
"185","Myriad","2005-11-01",480,6063
"186","Myriad","2005-12-01",1984,5075
"187","Myriad","2006-01-01",1329,3618
"188","Myriad","2006-02-01",1502,4483
"189","Myriad","2006-03-01",580,4726
"190","Myriad","2006-04-01",2326,4434
"191","Myriad","2006-05-01",1592,5518
"192","Myriad","2006-06-01",682,5010
"193","Myriad","2006-07-01",2570,4280
"194","Myriad","2006-08-01",1813,5145
"195","Myriad","2006-09-01",1806,4753
"196","Myriad","2006-10-01",1745,5191
"197","Myriad","2006-11-01",1793,5825
"198","Myriad","2006-12-01",1686,4626
"199","Myriad","2007-01-01",1929,3486
"200","Myriad","2007-02-01",1849,4369
"201","Myriad","2007-03-01",2027,4918
"202","Myriad","2007-04-01",1815,3957
"203","Myriad","2007-05-01",2080,5067
"204","Myriad","2007-06-01",2028,5201
"205","Myriad","2007-07-01",2228,4579
"206","Myriad","2007-08-01",934,4913
"207","Myriad","2007-09-01",3467,4610
"208","Myriad","2007-10-01",2477,4932
"209","Myriad","2007-11-01",1389,5602
"210","Myriad","2007-12-01",2798,4072
"211","Myriad","2008-01-01",2464,3525
"212","Myriad","2008-02-01",2686,4579
"213","Myriad","2008-03-01",2433,4199
"214","Myriad","2008-04-01",2392,4515
"215","Myriad","2008-05-01",1525,4258
"216","Myriad","2008-06-01",1692,4665
"217","Myriad","2008-07-01",3952,4539
"218","Myriad","2008-08-01",3137,4395
"219","Myriad","2008-09-01",2260,4765
"220","Myriad","2008-10-01",2462,5251
"221","Myriad","2008-11-01",2680,5076
"222","Myriad","2008-12-01",2295,4396
"223","Myriad","2009-01-01",2295,3387
"224","Myriad","2009-02-01",2381,4795
"225","Myriad","2009-03-01",3688,5001
"226","Myriad","2009-04-01",2117,3904
"227","Myriad","2009-05-01",3349,4588
"228","Myriad","2009-06-01",3913,4562
"229","Myriad","2009-07-01",3200,4786
"230","Myriad","2009-08-01",2685,4427
"231","Myriad","2009-09-01",2721,4654
"232","Myriad","2009-10-01",2578,5239
"233","Myriad","2009-11-01",1708,5505
"234","Myriad","2009-12-01",2728,4499
"235","Myriad","2010-01-01",2932,3038
"236","Myriad","2010-02-01",2692,4151
"237","Myriad","2010-03-01",2809,4404
"238","Myriad","2010-04-01",2590,4116
"239","Myriad","2010-05-01",2635,4417
"240","Myriad","2010-06-01",2635,4325
"241","Myriad","2010-07-01",2439,4353
"242","Myriad","2010-08-01",2180,4217
"243","Myriad","2010-09-01",2707,4501
"244","Myriad","2010-10-01",2427,4507
"245","Myriad","2010-11-01",2904,4859
"246","Myriad","2010-12-01",2626,4392
"247","Myriad","2011-01-01",2660,3286
"248","Myriad","2011-02-01",2839,3940
"249","Myriad","2011-03-01",3008,4387
"250","Myriad","2011-04-01",2654,3346
"251","Myriad","2011-05-01",2964,3582
"252","Myriad","2011-06-01",2856,4284
"253","Myriad","2011-07-01",2691,3696
"254","Myriad","2011-08-01",2665,4158
"255","Myriad","2011-09-01",2650,4000
"256","Myriad","2011-10-01",2444,3868
"257","Myriad","2011-11-01",2966,4134
"258","Myriad","2011-12-01",2498,3273
"259","Myriad","2012-01-01",2387,2499
"260","Myriad","2012-02-01",2862,3549
"261","Myriad","2012-03-01",2837,3639
"262","Myriad","2012-04-01",2539,3205
"263","Myriad","2012-05-01",2968,3561
"264","Myriad","2012-06-01",2865,3830
"265","Myriad","2012-07-01",2669,3468
"266","Myriad","2012-08-01",2590,3565
"267","Myriad","2012-09-01",2359,3139
"268","Myriad","2012-10-01",2311,3597
"269","Myriad","2012-11-01",2930,3749
"270","Myriad","2012-12-01",2281,2484
"271","Myriad","2013-01-01",2617,2407
"272","Myriad","2013-02-01",2676,2878
"273","Myriad","2013-03-01",2719,2778
"274","Myriad","2013-04-01",2663,2984
"275","Myriad","2013-05-01",2772,3100
"276","Myriad","2013-06-01",2698,2933
"277","Myriad","2013-07-01",2751,3126
"278","Myriad","2013-08-01",2528,3147
"279","Myriad","2013-09-01",2543,2885
"280","Myriad","2013-10-01",2841,3409
"281","Myriad","2013-11-01",2649,3013
"282","Myriad","2013-12-01",2375,2578
"283","Myriad","2014-01-01",2679,2234
"284","Myriad","2014-02-01",2841,1790
"285","Myriad","2014-03-01",2737,2974
"286","Myriad","2014-04-01",2509,2760
"287","Myriad","2014-05-01",2694,2908
"288","Myriad","2014-06-01",2699,3042
"289","Myriad","2014-07-01",2744,3102
"290","Myriad","2014-08-01",2517,3168
"291","Myriad","2014-09-01",2433,2960
"292","Myriad","2014-10-01",2571,3495
"293","Myriad","2014-11-01",2406,2930
