"","Date","PrimaryCauseDescription","TotalPaidOut","Percentage"
"1","2012-02-01","Cancer",41666229,0.235818
"2","2012-02-01","Accident",25847703,0.14629
"3","2012-02-01","Cardiovascular",25334203,0.143384
"4","2012-02-01","Surgery",24592115,0.139184
"5","2012-02-01","Murder",13275489,0.075135
"6","2012-02-01","Natural Causes",12917503,0.073109
"7","2012-02-01","Suicide",6967884,0.039436
"8","2012-02-01","Respiratory",5711595,0.032325
"9","2012-02-01","Nervous system",5695388,0.032234
"10","2012-02-01","Hematological",5196980,0.029413
"11","2012-02-01","Gastrointestinal",2651210,0.015005
"12","2012-02-01","Visual",2119788,0.011997
"13","2012-02-01","Urogenital system",1193361,0.006754
"14","2012-02-01","Musculoskeletal",1189260,0.00673
"15","2012-02-01","Psychiatric / Mental",958104,0.005422
"16","2012-02-01","Endocrine / metabolic system",885440,0.005011
"17","2012-02-01","Under investigation",260000,0.001471
"18","2012-02-01","Ear, Nose and Throat",120000,0.000679
"19","2012-02-01","Fractures and Hospitalisation",105200,0.000595
"20","2012-03-01","Cancer",44417023,0.247593
"21","2012-03-01","Cardiovascular",38093787,0.212346
"22","2012-03-01","Natural Causes",30757572,0.171451
"23","2012-03-01","Accident",24002465,0.133796
"24","2012-03-01","Nervous system",10460298,0.058308
"25","2012-03-01","Suicide",8677531,0.048371
"26","2012-03-01","Respiratory",6713956,0.037425
"27","2012-03-01","Murder",4591464,0.025594
"28","2012-03-01","Musculoskeletal",4198031,0.023401
"29","2012-03-01","Visual",2157566,0.012026
"30","2012-03-01","Urogenital system",2102679,0.01172
"31","2012-03-01","Surgery",1473321,0.008212
"32","2012-03-01","Endocrine / metabolic system",1367344,0.007621
"33","2012-03-01","Psychiatric / Mental",103635,0.000577
"34","2012-03-01","Gastrointestinal",72464,0.000403
"35","2012-03-01","Hematological",60000,0.000334
"36","2012-03-01","Fractures and Hospitalisation",55096,0.000307
"37","2012-03-01","Ear, Nose and Throat",52500,0.000292
