"","ProductHouse","Date","LC","NB"
"1","Investo","2010-02-01",1917,1696
"2","Investo","2010-03-01",1889,1994
"3","Investo","2010-04-01",1585,1439
"4","Investo","2010-05-01",1785,2316
"5","Investo","2010-06-01",1722,1852
"6","Investo","2010-07-01",1817,2042
"7","Investo","2010-08-01",1718,2150
"8","Investo","2010-09-01",1710,2147
"9","Investo","2010-10-01",1599,1912
"10","Investo","2010-11-01",1558,1934
"11","Investo","2010-12-01",1418,1908
"12","Investo","2011-01-01",1275,1840
"13","Investo","2011-02-01",1627,1880
"14","Investo","2011-03-01",1670,2409
"15","Investo","2011-04-01",1224,2129
"16","Investo","2011-05-01",1347,1980
"17","Investo","2011-06-01",1485,1995
"18","Investo","2011-07-01",1274,2143
"19","Investo","2011-08-01",1466,2318
"20","Investo","2011-09-01",1537,2335
"21","Investo","2011-10-01",1438,2197
"22","Investo","2011-11-01",1460,2223
"23","Investo","2011-12-01",1070,1780
"24","Investo","2012-01-01",996,1718
"25","Investo","2012-02-01",1496,1919
"26","Investo","2012-03-01",1528,2188
"27","Investo","2012-04-01",1476,2053
"28","Investo","2012-05-01",1646,1754
"29","Investo","2012-06-01",1491,1942
"30","Investo","2012-07-01",1570,2089
"31","Investo","2012-08-01",1556,2261
"32","Investo","2012-09-01",1238,2355
"33","Investo","2012-10-01",1726,2074
"34","Investo","2012-11-01",1637,1997
"35","Investo","2012-12-01",1373,1662
"36","Investo","2013-01-01",1335,1817
"37","Investo","2013-02-01",1462,2019
"38","Investo","2013-03-01",1414,2508
"39","Investo","2013-04-01",1857,2259
"40","Investo","2013-05-01",1724,2305
"41","Investo","2013-06-01",1724,2367
"42","Investo","2013-07-01",2019,2233
"43","Investo","2013-08-01",1940,2306
"44","Investo","2013-09-01",2044,2278
"45","Investo","2013-10-01",2211,2166
"46","Investo","2013-11-01",1984,2137
"47","Investo","2013-12-01",1721,1888
"48","Investo","2014-01-01",1686,1899
"49","Investo","2014-02-01",1841,2108
"50","Investo","2014-03-01",1851,2258
"51","Investo","2014-04-01",1869,2284
"52","Investo","2014-05-01",1701,2191
"53","Investo","2014-06-01",1798,2303
"54","Investo","2014-07-01",1951,2413
"55","Investo","2014-08-01",1832,2660
"56","Investo","2014-09-01",2251,2731
"57","Investo","2014-10-01",2141,2780
"58","Multiply","2010-03-01",111,1788
"59","Multiply","2010-04-01",153,1592
"60","Multiply","2010-05-01",251,1743
"61","Multiply","2010-06-01",244,1306
"62","Multiply","2010-07-01",273,1184
"63","Multiply","2010-08-01",282,1208
"64","Multiply","2010-09-01",264,1102
"65","Multiply","2010-10-01",266,1072
"66","Multiply","2010-11-01",270,1019
"67","Multiply","2010-12-01",370,1045
"68","Multiply","2011-01-01",382,1143
"69","Multiply","2011-02-01",355,1334
"70","Multiply","2011-03-01",358,1194
"71","Multiply","2011-04-01",309,1212
"72","Multiply","2011-05-01",406,993
"73","Multiply","2011-06-01",289,1045
"74","Multiply","2011-07-01",572,1552
"75","Multiply","2011-08-01",669,1676
"76","Multiply","2011-09-01",474,1761
"77","Multiply","2011-10-01",478,2059
"78","Multiply","2011-11-01",357,2016
"79","Multiply","2011-12-01",890,2003
"80","Multiply","2012-01-01",862,1708
"81","Multiply","2012-02-01",695,1640
"82","Multiply","2012-03-01",723,1958
"83","Multiply","2012-04-01",701,1616
"84","Multiply","2012-05-01",818,1533
"85","Multiply","2012-06-01",662,1502
"86","Multiply","2012-07-01",982,1931
"87","Multiply","2012-08-01",846,1619
"88","Multiply","2012-09-01",728,1516
"89","Multiply","2012-10-01",864,1482
"90","Multiply","2012-11-01",854,1638
"91","Multiply","2012-12-01",906,1585
"92","Multiply","2013-01-01",1228,7245
"93","Multiply","2013-02-01",1317,2493
"94","Multiply","2013-03-01",1196,2115
"95","Multiply","2013-04-01",1416,1611
"96","Multiply","2013-05-01",1219,1670
"97","Multiply","2013-06-01",1011,1534
"98","Multiply","2013-07-01",1102,1552
"99","Multiply","2013-08-01",1141,1620
"100","Multiply","2013-09-01",998,1538
"101","Multiply","2013-10-01",960,1551
"102","Multiply","2013-11-01",926,1336
"103","Multiply","2013-12-01",1397,1173
"104","Multiply","2014-01-01",1379,1595
"105","Multiply","2014-02-01",1174,1664
"106","Multiply","2014-03-01",1052,1457
"107","Multiply","2014-04-01",913,1470
"108","Multiply","2014-05-01",1076,1311
"109","Multiply","2014-06-01",1015,1457
"110","Multiply","2014-07-01",1035,1547
"111","Multiply","2014-08-01",999,1716
"112","Multiply","2014-09-01",904,1839
"113","Multiply","2014-10-01",1058,1823
"114","Myriad","2010-02-01",2692,4151
"115","Myriad","2010-03-01",2809,4404
"116","Myriad","2010-04-01",2590,4116
"117","Myriad","2010-05-01",2635,4417
"118","Myriad","2010-06-01",2635,4325
"119","Myriad","2010-07-01",2439,4353
"120","Myriad","2010-08-01",2180,4217
"121","Myriad","2010-09-01",2707,4501
"122","Myriad","2010-10-01",2427,4507
"123","Myriad","2010-11-01",2904,4859
"124","Myriad","2010-12-01",2626,4392
"125","Myriad","2011-01-01",2660,3286
"126","Myriad","2011-02-01",2839,3940
"127","Myriad","2011-03-01",3008,4387
"128","Myriad","2011-04-01",2654,3346
"129","Myriad","2011-05-01",2964,3582
"130","Myriad","2011-06-01",2856,4284
"131","Myriad","2011-07-01",2691,3696
"132","Myriad","2011-08-01",2665,4158
"133","Myriad","2011-09-01",2650,4000
"134","Myriad","2011-10-01",2444,3868
"135","Myriad","2011-11-01",2966,4134
"136","Myriad","2011-12-01",2498,3273
"137","Myriad","2012-01-01",2387,2499
"138","Myriad","2012-02-01",2862,3549
"139","Myriad","2012-03-01",2837,3639
"140","Myriad","2012-04-01",2539,3205
"141","Myriad","2012-05-01",2968,3561
"142","Myriad","2012-06-01",2865,3830
"143","Myriad","2012-07-01",2669,3468
"144","Myriad","2012-08-01",2590,3565
"145","Myriad","2012-09-01",2359,3139
"146","Myriad","2012-10-01",2311,3597
"147","Myriad","2012-11-01",2930,3749
"148","Myriad","2012-12-01",2281,2484
"149","Myriad","2013-01-01",2617,2407
"150","Myriad","2013-02-01",2676,2878
"151","Myriad","2013-03-01",2719,2778
"152","Myriad","2013-04-01",2663,2984
"153","Myriad","2013-05-01",2772,3100
"154","Myriad","2013-06-01",2698,2933
"155","Myriad","2013-07-01",2751,3126
"156","Myriad","2013-08-01",2528,3147
