"","ProductHouse","Date","LC","NB"
"1","Myriad","2010-02-01",2692,4151
"2","Investo","2010-02-01",2110,62
"3","Myriad","2010-03-01",2809,4404
"4","Investo","2010-03-01",2044,64
"5","Myriad","2010-04-01",2590,4116
"6","Investo","2010-04-01",1764,49
"7","Myriad","2010-05-01",2635,4417
"8","Investo","2010-05-01",1956,38
"9","Myriad","2010-06-01",2635,4325
"10","Investo","2010-06-01",1848,59
"11","Myriad","2010-07-01",2439,4353
"12","Investo","2010-07-01",1962,60
"13","Myriad","2010-08-01",2180,4217
"14","Investo","2010-08-01",1862,68
"15","Myriad","2010-09-01",2707,4501
"16","Investo","2010-09-01",1833,41
"17","Investo","2010-10-01",1754,40
"18","Myriad","2010-10-01",2427,4507
"19","Myriad","2010-11-01",2904,4859
"20","Investo","2010-11-01",1711,50
"21","Myriad","2010-12-01",2626,4392
"22","Investo","2010-12-01",1563,50
"23","Myriad","2011-01-01",2660,3286
"24","Investo","2011-01-01",1433,42
"25","Myriad","2011-02-01",2839,3940
"26","Investo","2011-02-01",1769,45
"27","Myriad","2011-03-01",3008,4387
"28","Investo","2011-03-01",1810,71
"29","Myriad","2011-04-01",2654,3346
"30","Investo","2011-04-01",1353,77
"31","Myriad","2011-05-01",2964,3582
"32","Investo","2011-05-01",1490,58
"33","Myriad","2011-06-01",2856,4284
"34","Investo","2011-06-01",1581,65
"35","Investo","2011-07-01",1392,53
"36","Myriad","2011-07-01",2691,3696
"37","Myriad","2011-08-01",2665,4158
"38","Investo","2011-08-01",1570,67
"39","Investo","2011-09-01",1654,85
"40","Myriad","2011-09-01",2650,4000
"41","Investo","2011-10-01",1535,84
"42","Myriad","2011-10-01",2444,3868
"43","Myriad","2011-11-01",2966,4134
"44","Investo","2011-11-01",1568,54
"45","Myriad","2011-12-01",2498,3273
"46","Investo","2011-12-01",1177,44
"47","Myriad","2012-01-01",2387,2499
"48","Investo","2012-01-01",1076,40
"49","Investo","2012-02-01",1581,60
"50","Myriad","2012-02-01",2862,3549
"51","Myriad","2012-03-01",2837,3639
"52","Investo","2012-03-01",1632,57
"53","Myriad","2012-04-01",2539,3205
"54","Investo","2012-04-01",1657,419
"55","Myriad","2012-05-01",2968,3561
"56","Investo","2012-05-01",1749,49
"57","Myriad","2012-06-01",2865,3830
"58","Investo","2012-06-01",1576,63
"59","Myriad","2012-07-01",2669,3468
"60","Investo","2012-07-01",1699,77
"61","Myriad","2012-08-01",2590,3565
"62","Investo","2012-08-01",1650,79
"63","Investo","2012-09-01",1330,90
"64","Myriad","2012-09-01",2359,3139
"65","Investo","2012-10-01",1835,83
"66","Myriad","2012-10-01",2311,3597
"67","Myriad","2012-11-01",2930,3749
"68","Investo","2012-11-01",1743,92
"69","Myriad","2012-12-01",2281,2484
"70","Investo","2012-12-01",1487,59
"71","Myriad","2013-01-01",2617,2407
"72","Investo","2013-01-01",1478,152
"73","Investo","2013-02-01",1609,84
"74","Myriad","2013-02-01",2676,2878
"75","Myriad","2013-03-01",2719,2778
"76","Investo","2013-03-01",1546,137
"77","Myriad","2013-04-01",2663,2984
"78","Investo","2013-04-01",1990,93
"79","Myriad","2013-05-01",2772,3100
"80","Investo","2013-05-01",1863,106
"81","Myriad","2013-06-01",2698,2933
"82","Investo","2013-06-01",1840,111
"83","Myriad","2013-07-01",2751,3126
"84","Investo","2013-07-01",2141,110
"85","Myriad","2013-08-01",2528,3147
"86","Investo","2013-08-01",2051,108
"87","Investo","2013-09-01",2162,107
"88","Myriad","2013-09-01",2543,2885
"89","Myriad","2013-10-01",2841,3409
"90","Investo","2013-10-01",2316,226
"91","Myriad","2013-11-01",2649,3014
"92","Investo","2013-11-01",2080,814
"93","Myriad","2013-12-01",2375,2579
"94","Investo","2013-12-01",1828,838
"95","Myriad","2014-01-01",2679,2235
"96","Investo","2014-01-01",1800,726
"97","Myriad","2014-02-01",2841,1791
"98","Investo","2014-02-01",1954,771
"99","Myriad","2014-03-01",2737,2975
"100","Investo","2014-03-01",1960,1142
"101","Myriad","2014-04-01",2509,2761
"102","Investo","2014-04-01",1992,1123
"103","Investo","2014-05-01",1830,1114
"104","Myriad","2014-05-01",2694,2908
"105","Investo","2014-06-01",1921,1164
"106","Myriad","2014-06-01",2699,3043
"107","Myriad","2014-07-01",2744,3103
"108","Investo","2014-07-01",2067,1244
"109","Investo","2014-08-01",1950,1451
"110","Myriad","2014-08-01",2517,3169
"111","Investo","2014-09-01",2349,1848
"112","Myriad","2014-09-01",2433,2962
