"","Date","MultiplyMemberStatusDesc","Count"
"1","01-April-2013","BRONZE",51091
"2","01-April-2014","BRONZE",49439
"3","01-August-2013","BRONZE",50593
"4","01-August-2014","BRONZE",48455
"5","01-December-2012","BRONZE",46513
"6","01-December-2013","BRONZE",47899
"7","01-February-2013","BRONZE",50505
"8","01-February-2014","BRONZE",49890
"9","01-January-2013","BRONZE",51778
"10","01-January-2014","BRONZE",47067
"11","01-July-2013","BRONZE",50614
"12","01-July-2014","BRONZE",48634
"13","01-June-2013","BRONZE",50812
"14","01-June-2014","BRONZE",48755
"15","01-March-2013","BRONZE",50958
"16","01-March-2014","BRONZE",49783
"17","01-May-2013","BRONZE",51011
"18","01-May-2014","BRONZE",49340
"19","01-November-2012","BRONZE",46698
"20","01-November-2013","BRONZE",49329
"21","01-October-2012","BRONZE",46614
"22","01-October-2013","BRONZE",50336
"23","01-October-2014","BRONZE",47804
"24","01-September-2012","BRONZE",47064
"25","01-September-2013","BRONZE",50348
"26","01-September-2014","BRONZE",48039
"27","01-April-2013","SILVER",9816
"28","01-April-2014","SILVER",8695
"29","01-August-2013","SILVER",10285
"30","01-August-2014","SILVER",9187
"31","01-December-2012","SILVER",8716
"32","01-December-2013","SILVER",11069
"33","01-February-2013","SILVER",10113
"34","01-February-2014","SILVER",8547
"35","01-January-2013","SILVER",7158
"36","01-January-2014","SILVER",11428
"37","01-July-2013","SILVER",10234
"38","01-July-2014","SILVER",8985
"39","01-June-2013","SILVER",9944
"40","01-June-2014","SILVER",8809
"41","01-March-2013","SILVER",9924
"42","01-March-2014","SILVER",8627
"43","01-May-2013","SILVER",9752
"44","01-May-2014","SILVER",8784
"45","01-November-2012","SILVER",8320
"46","01-November-2013","SILVER",10736
"47","01-October-2012","SILVER",7816
"48","01-October-2013","SILVER",10529
"49","01-October-2014","SILVER",9633
"50","01-September-2012","SILVER",7565
"51","01-September-2013","SILVER",10393
"52","01-September-2014","SILVER",9364
"53","01-April-2013","GOLD",1348
"54","01-April-2014","GOLD",1828
"55","01-August-2013","GOLD",1520
"56","01-August-2014","GOLD",2181
"57","01-December-2012","GOLD",1109
"58","01-December-2013","GOLD",1915
"59","01-February-2013","GOLD",1296
"60","01-February-2014","GOLD",1711
"61","01-January-2013","GOLD",988
"62","01-January-2014","GOLD",2047
"63","01-July-2013","GOLD",1446
"64","01-July-2014","GOLD",2075
"65","01-June-2013","GOLD",1365
"66","01-June-2014","GOLD",1969
"67","01-March-2013","GOLD",1343
"68","01-March-2014","GOLD",1732
"69","01-May-2013","GOLD",1343
"70","01-May-2014","GOLD",1892
"71","01-November-2012","GOLD",1058
"72","01-November-2013","GOLD",1776
"73","01-October-2012","GOLD",986
"74","01-October-2013","GOLD",1690
"75","01-October-2014","GOLD",2505
"76","01-September-2012","GOLD",960
"77","01-September-2013","GOLD",1577
"78","01-September-2014","GOLD",2325
"79","01-April-2013","PLATINUM",984
"80","01-April-2014","PLATINUM",814
"81","01-August-2013","PLATINUM",1000
"82","01-August-2014","PLATINUM",1073
"83","01-December-2012","PLATINUM",861
"84","01-December-2013","PLATINUM",1069
"85","01-February-2013","PLATINUM",997
"86","01-February-2014","PLATINUM",772
"87","01-January-2013","PLATINUM",708
"88","01-January-2014","PLATINUM",1106
"89","01-July-2013","PLATINUM",989
"90","01-July-2014","PLATINUM",992
"91","01-June-2013","PLATINUM",970
"92","01-June-2014","PLATINUM",926
"93","01-March-2013","PLATINUM",985
"94","01-March-2014","PLATINUM",792
"95","01-May-2013","PLATINUM",974
"96","01-May-2014","PLATINUM",855
"97","01-November-2012","PLATINUM",810
"98","01-November-2013","PLATINUM",1062
"99","01-October-2012","PLATINUM",753
"100","01-October-2013","PLATINUM",1033
"101","01-October-2014","PLATINUM",1239
"102","01-September-2012","PLATINUM",741
"103","01-September-2013","PLATINUM",1013
"104","01-September-2014","PLATINUM",1149
"105","01-April-2013","PRIVATE",771
"106","01-April-2014","PRIVATE",830
"107","01-August-2013","PRIVATE",781
"108","01-August-2014","PRIVATE",984
"109","01-December-2012","PRIVATE",723
"110","01-December-2013","PRIVATE",916
"111","01-February-2013","PRIVATE",746
"112","01-February-2014","PRIVATE",768
"113","01-January-2013","PRIVATE",684
"114","01-January-2014","PRIVATE",986
"115","01-July-2013","PRIVATE",777
"116","01-July-2014","PRIVATE",922
"117","01-June-2013","PRIVATE",772
"118","01-June-2014","PRIVATE",877
"119","01-March-2013","PRIVATE",766
"120","01-March-2014","PRIVATE",807
"121","01-May-2013","PRIVATE",770
"122","01-May-2014","PRIVATE",845
"123","01-November-2012","PRIVATE",682
"124","01-November-2013","PRIVATE",851
"125","01-October-2012","PRIVATE",646
"126","01-October-2013","PRIVATE",818
"127","01-October-2014","PRIVATE",1193
"128","01-September-2012","PRIVATE",639
"129","01-September-2013","PRIVATE",796
"130","01-September-2014","PRIVATE",1068
