"","ProductHouse","Date","LC","NB"
"1","Investo","2010-02-01",1704,2108
"2","Myriad","2010-02-01",2692,4151
"3","Investo","2010-03-01",2004,2041
"4","Myriad","2010-03-01",2809,4404
"5","Investo","2010-04-01",1449,1762
"6","Myriad","2010-04-01",2590,4116
"7","Investo","2010-05-01",2326,1954
"8","Myriad","2010-05-01",2635,4417
"9","Investo","2010-06-01",1865,1846
"10","Myriad","2010-06-01",2635,4325
"11","Investo","2010-07-01",2054,1961
"12","Myriad","2010-07-01",2439,4353
"13","Investo","2010-08-01",2165,1862
"14","Myriad","2010-08-01",2180,4217
"15","Investo","2010-09-01",2163,1831
"16","Myriad","2010-09-01",2707,4501
"17","Investo","2010-10-01",1921,1753
"18","Myriad","2010-10-01",2427,4507
"19","Investo","2010-11-01",1946,1710
"20","Myriad","2010-11-01",2904,4859
"21","Investo","2010-12-01",1925,1561
"22","Myriad","2010-12-01",2626,4392
"23","Investo","2011-01-01",1851,1433
"24","Myriad","2011-01-01",2660,3286
"25","Investo","2011-02-01",1892,1767
"26","Myriad","2011-02-01",2839,3940
"27","Investo","2011-03-01",2432,1807
"28","Myriad","2011-03-01",3008,4387
"29","Investo","2011-04-01",2145,1352
"30","Myriad","2011-04-01",2654,3346
"31","Investo","2011-05-01",1989,1490
"32","Myriad","2011-05-01",2964,3582
"33","Investo","2011-06-01",2008,1580
"34","Myriad","2011-06-01",2856,4284
"35","Investo","2011-07-01",2157,1391
"36","Myriad","2011-07-01",2691,3696
"37","Investo","2011-08-01",2330,1568
"38","Myriad","2011-08-01",2665,4158
"39","Investo","2011-09-01",2347,1653
"40","Myriad","2011-09-01",2650,4000
"41","Investo","2011-10-01",2211,1535
"42","Myriad","2011-10-01",2444,3868
"43","Investo","2011-11-01",2242,1568
"44","Myriad","2011-11-01",2966,4134
"45","Investo","2011-12-01",1796,1177
"46","Myriad","2011-12-01",2498,3273
"47","Investo","2012-01-01",1728,1076
"48","Myriad","2012-01-01",2387,2499
"49","Investo","2012-02-01",1931,1581
"50","Myriad","2012-02-01",2862,3549
"51","Investo","2012-03-01",2204,1631
"52","Myriad","2012-03-01",2837,3639
"53","Investo","2012-04-01",2060,1656
"54","Myriad","2012-04-01",2539,3205
"55","Investo","2012-05-01",1765,1749
"56","Myriad","2012-05-01",2968,3561
"57","Investo","2012-06-01",1956,1576
"58","Myriad","2012-06-01",2865,3830
"59","Investo","2012-07-01",2105,1699
"60","Myriad","2012-07-01",2669,3468
"61","Investo","2012-08-01",2275,1650
"62","Myriad","2012-08-01",2590,3565
"63","Investo","2012-09-01",2371,1330
"64","Myriad","2012-09-01",2359,3139
"65","Investo","2012-10-01",2096,1835
"66","Myriad","2012-10-01",2311,3597
"67","Investo","2012-11-01",2019,1742
"68","Myriad","2012-11-01",2930,3749
"69","Investo","2012-12-01",1673,1486
"70","Myriad","2012-12-01",2281,2484
"71","Investo","2013-01-01",1839,1478
"72","Myriad","2013-01-01",2617,2407
"73","Investo","2013-02-01",2031,1609
"74","Myriad","2013-02-01",2676,2878
"75","Investo","2013-03-01",2532,1545
"76","Myriad","2013-03-01",2719,2778
"77","Investo","2013-04-01",2278,1990
"78","Myriad","2013-04-01",2663,2984
"79","Investo","2013-05-01",2327,1863
"80","Myriad","2013-05-01",2772,3100
"81","Investo","2013-06-01",2393,1840
"82","Myriad","2013-06-01",2698,2933
"83","Investo","2013-07-01",2277,2139
"84","Myriad","2013-07-01",2751,3126
"85","Investo","2013-08-01",2329,2048
"86","Myriad","2013-08-01",2528,3147
"87","Investo","2013-09-01",2298,2162
"88","Myriad","2013-09-01",2543,2885
"89","Investo","2013-10-01",2194,2315
"90","Myriad","2013-10-01",2841,3409
"91","Investo","2013-11-01",2158,2079
"92","Myriad","2013-11-01",2649,3014
"93","Investo","2013-12-01",1909,1828
"94","Myriad","2013-12-01",2375,2579
"95","Investo","2014-01-01",1921,1800
"96","Myriad","2014-01-01",2679,2235
"97","Investo","2014-02-01",2121,1954
"98","Myriad","2014-02-01",2841,1791
"99","Investo","2014-03-01",2276,1960
"100","Myriad","2014-03-01",2737,2975
"101","Investo","2014-04-01",2295,1992
"102","Myriad","2014-04-01",2509,2761
"103","Investo","2014-05-01",2211,1830
"104","Myriad","2014-05-01",2694,2908
"105","Investo","2014-06-01",2341,1921
"106","Myriad","2014-06-01",2699,3043
"107","Investo","2014-07-01",2454,2067
"108","Myriad","2014-07-01",2744,3103
"109","Investo","2014-08-01",2720,1950
"110","Myriad","2014-08-01",2517,3169
"111","Investo","2014-09-01",2862,2348
"112","Myriad","2014-09-01",2433,2961
