"","Date","ProductHouseDesc","Count"
"1","2014-09-01","INVESTO",339794
"2","2011-08-01","PDS",369654
"3","2014-03-01","MYRIAD",275068
"4","2011-11-01","INVESTO",256413
"5","2010-12-01","INVESTO",242626
"6","2013-12-01","MYRIAD",265921
"7","2013-09-01","INVESTO",290976
"8","2014-04-01","INVESTO",327561
"9","2012-04-01","INVESTO",281016
"10","2014-05-01","INVESTO",329714
"11","2011-10-01","PDS",370002
"12","2011-02-01","MYRIAD",171681
"13","2012-01-01","MYRIAD",212180
"14","2010-08-01","PDS",368737
"15","2013-07-01","MYRIAD",249817
"16","2013-02-01","PDS",352620
"17","2010-12-01","PDS",369256
"18","2014-01-01","MYRIAD",269068
"19","2012-04-01","PDS",365114
"20","2013-09-01","PDS",354508
"21","2011-12-01","MYRIAD",212113
"22","2011-08-01","INVESTO",252301
"23","2014-07-01","PDS",475588
"24","2014-06-01","INVESTO",332099
"25","2012-11-01","PDS",352107
"26","2014-05-01","PDS",474966
"27","2012-10-01","MYRIAD",225798
"28","2013-01-01","INVESTO",273944
"29","2012-12-01","MYRIAD",231458
"30","2012-03-01","INVESTO",276764
"31","2011-10-01","INVESTO",256279
"32","2012-06-01","MYRIAD",222487
"33","2011-11-01","MYRIAD",189461
"34","2013-03-01","INVESTO",278467
"35","2014-09-01","MYRIAD",294541
"36","2010-10-01","MYRIAD",165592
"37","2013-09-01","MYRIAD",256002
"38","2012-08-01","INVESTO",259966
"39","2014-04-01","MYRIAD",278361
"40","2014-01-01","INVESTO",320458
"41","2012-09-01","PDS",354657
"42","2011-02-01","INVESTO",244576
"43","2013-06-01","MYRIAD",246799
"44","2010-08-01","INVESTO",241606
"45","2011-01-01","PDS",368882
"46","2010-09-01","PDS",369024
"47","2013-07-01","INVESTO",286856
"48","2013-06-01","PDS",353581
"49","2014-06-01","PDS",475309
"50","2011-04-01","MYRIAD",171228
"51","2012-03-01","PDS",371329
"52","2011-07-01","PDS",369609
"53","2011-06-01","MYRIAD",175720
"54","2013-06-01","INVESTO",284709
"55","2013-03-01","MYRIAD",237719
"56","2011-03-01","PDS",369002
"57","2013-10-01","PDS",354874
